Training with argumentation
Images min: 0.16470588743686676 Images max: 0.8666666746139526
Mask min: 0.0 Mask max: 1.0

==================================================
Trainer Configuration
==================================================
{   'Best Validation Loss': inf,
    'Device': device(type='cuda'),
    'Learning Rate': 0.001,
    'Loss Function': 'BCELoss()',
    'Loss Save Path': '/home/crackscope/Road-Anomaly-Detector/road_anomaly_detector/main/model/model_files/HED_forest_lr0001_b4_p20_e500_bce/loss_plot.png',
    'Model Save Path': '/home/crackscope/Road-Anomaly-Detector/road_anomaly_detector/main/model/model_files/HED_forest_lr0001_b4_p20_e500_bce/model.pth',
    'Number of Epochs': 500,
    'Optimizer': 'Adam (\n'
                 'Parameter Group 0\n'
                 '    amsgrad: False\n'
                 '    betas: (0.9, 0.999)\n'
                 '    capturable: False\n'
                 '    differentiable: False\n'
                 '    eps: 1e-08\n'
                 '    foreach: None\n'
                 '    fused: None\n'
                 '    lr: 0.001\n'
                 '    maximize: False\n'
                 '    weight_decay: 0\n'
                 ')',
    'Patience': 20}
==================================================

Epoch [1/500], Train Loss: 0.2302, Val Loss: 0.1193
Epoch [25/500], Train Loss: 0.0726, Val Loss: 0.0795
No improvement in validation loss for 5 epochs.
Epoch [26/500], Train Loss: 0.0751, Val Loss: 0.0763
No improvement in validation loss for 6 epochs.
Epoch [27/500], Train Loss: 0.0708, Val Loss: 0.0601
No improvement in validation loss for 7 epochs.
Epoch [28/500], Train Loss: 0.0740, Val Loss: 0.0615
No improvement in validation loss for 8 epochs.
Epoch [29/500], Train Loss: 0.0708, Val Loss: 0.0559
No improvement in validation loss for 9 epochs.
Epoch [30/500], Train Loss: 0.0692, Val Loss: 0.0487
Model improved
Epoch [31/500], Train Loss: 0.0695, Val Loss: 0.0530
No improvement in validation loss for 1 epochs.
Epoch [32/500], Train Loss: 0.0726, Val Loss: 0.0665
No improvement in validation loss for 2 epochs.
Epoch [33/500], Train Loss: 0.0684, Val Loss: 0.0466
Model improved
Epoch [34/500], Train Loss: 0.0702, Val Loss: 0.0470
No improvement in validation loss for 1 epochs.
Epoch [35/500], Train Loss: 0.0690, Val Loss: 0.0664
No improvement in validation loss for 2 epochs.
Epoch [36/500], Train Loss: 0.0696, Val Loss: 0.0575
No improvement in validation loss for 3 epochs.
Epoch [37/500], Train Loss: 0.0671, Val Loss: 0.0457
Model improved
Epoch [38/500], Train Loss: 0.0682, Val Loss: 0.0511
No improvement in validation loss for 1 epochs.
Epoch [39/500], Train Loss: 0.0696, Val Loss: 0.0525
No improvement in validation loss for 2 epochs.
Epoch [40/500], Train Loss: 0.0675, Val Loss: 0.0632
No improvement in validation loss for 3 epochs.
Epoch [41/500], Train Loss: 0.0681, Val Loss: 0.0576
No improvement in validation loss for 4 epochs.
Epoch [42/500], Train Loss: 0.0685, Val Loss: 0.0491
No improvement in validation loss for 5 epochs.
Epoch [43/500], Train Loss: 0.0685, Val Loss: 0.0472
No improvement in validation loss for 6 epochs.
Epoch [44/500], Train Loss: 0.0687, Val Loss: 0.0484
No improvement in validation loss for 7 epochs.
Epoch [45/500], Train Loss: 0.0691, Val Loss: 0.0497
No improvement in validation loss for 8 epochs.
Epoch [46/500], Train Loss: 0.0658, Val Loss: 0.0496
No improvement in validation loss for 9 epochs.
Epoch [47/500], Train Loss: 0.0679, Val Loss: 0.0470
No improvement in validation loss for 10 epochs.
Epoch [48/500], Train Loss: 0.0654, Val Loss: 0.0519
No improvement in validation loss for 11 epochs.
Epoch [49/500], Train Loss: 0.0663, Val Loss: 0.0494
No improvement in validation loss for 12 epochs.
Epoch [50/500], Train Loss: 0.0687, Val Loss: 0.0537
No improvement in validation loss for 13 epochs.
Epoch [51/500], Train Loss: 0.0657, Val Loss: 0.0471
No improvement in validation loss for 14 epochs.
Epoch [52/500], Train Loss: 0.0683, Val Loss: 0.0459
No improvement in validation loss for 15 epochs.
Epoch [53/500], Train Loss: 0.0641, Val Loss: 0.0452
Model improved
Epoch [54/500], Train Loss: 0.0638, Val Loss: 0.0459
No improvement in validation loss for 1 epochs.
Epoch [55/500], Train Loss: 0.0654, Val Loss: 0.0437
Model improved
Epoch [56/500], Train Loss: 0.0682, Val Loss: 0.0499
No improvement in validation loss for 1 epochs.
Epoch [57/500], Train Loss: 0.0654, Val Loss: 0.0494
No improvement in validation loss for 2 epochs.
Epoch [58/500], Train Loss: 0.0656, Val Loss: 0.0757
No improvement in validation loss for 3 epochs.
Epoch [59/500], Train Loss: 0.0642, Val Loss: 0.0468
No improvement in validation loss for 4 epochs.
Epoch [60/500], Train Loss: 0.0647, Val Loss: 0.0657
No improvement in validation loss for 5 epochs.
Epoch [61/500], Train Loss: 0.0675, Val Loss: 0.0462
No improvement in validation loss for 6 epochs.
Epoch [62/500], Train Loss: 0.0671, Val Loss: 0.0460
No improvement in validation loss for 7 epochs.
Epoch [63/500], Train Loss: 0.0643, Val Loss: 0.0484
No improvement in validation loss for 8 epochs.
Epoch [64/500], Train Loss: 0.0641, Val Loss: 0.0460
No improvement in validation loss for 9 epochs.
Epoch [65/500], Train Loss: 0.0641, Val Loss: 0.1033
No improvement in validation loss for 10 epochs.
Epoch [66/500], Train Loss: 0.0693, Val Loss: 0.0473
No improvement in validation loss for 11 epochs.
Epoch [67/500], Train Loss: 0.0643, Val Loss: 0.0547
No improvement in validation loss for 12 epochs.
Epoch [68/500], Train Loss: 0.0651, Val Loss: 0.0482
No improvement in validation loss for 13 epochs.
Epoch [69/500], Train Loss: 0.0656, Val Loss: 0.0466
No improvement in validation loss for 14 epochs.
Epoch [70/500], Train Loss: 0.0634, Val Loss: 0.0455
No improvement in validation loss for 15 epochs.
Epoch [71/500], Train Loss: 0.0662, Val Loss: 0.0560
No improvement in validation loss for 16 epochs.
Epoch [72/500], Train Loss: 0.0679, Val Loss: 0.0474
No improvement in validation loss for 17 epochs.
Epoch [73/500], Train Loss: 0.0658, Val Loss: 0.0452
No improvement in validation loss for 18 epochs.
Epoch [74/500], Train Loss: 0.0660, Val Loss: 0.0467
No improvement in validation loss for 19 epochs.
Epoch [75/500], Train Loss: 0.0642, Val Loss: 0.0465
No improvement in validation loss for 20 epochs.
Early stopping after 20 epochs without improvement.
Best validation loss: 0.0437
Model saved to /home/crackscope/Road-Anomaly-Detector/road_anomaly_detector/main/model/model_files/HED_forest_lr0001_b4_p20_e500_bce/model.pth
Loss plot saved to /home/crackscope/Road-Anomaly-Detector/road_anomaly_detector/main/model/model_files/HED_forest_lr0001_b4_p20_e500_bce/loss_plot.png
